Artist,Album,Spotify_Album_ID,Spotify_Album_URL,Release_Date,Type,Number of Tracks,Artist URL,Album Art URL
*NSYNC,No Strings Attached,20RMokVwJ2wjQ0s8FOdOFC,https://open.spotify.com/album/20RMokVwJ2wjQ0s8FOdOFC,2000-03-21,album,12,https://open.spotify.com/artist/6Ff53KvcvAj5U7Z1vojB5o,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
10 Years,The Autumn Effect,1VlMcoG1aI4E4kBIVoH5cp,https://open.spotify.com/album/1VlMcoG1aI4E4kBIVoH5cp,2005-01-01,album,13,https://open.spotify.com/artist/0REMf7H0VP6DwfZ9MbuWph,https://i.scdn.co/image/ab67616d0000b27366812882de8214e916e4d9d1
10 Years,Division,0HWHNaD8qGNRT7UMCu5z7H,https://open.spotify.com/album/0HWHNaD8qGNRT7UMCu5z7H,2008-01-01,album,13,https://open.spotify.com/artist/0REMf7H0VP6DwfZ9MbuWph,https://i.scdn.co/image/ab67616d0000b273227bd9b4a9af3376db74250a
3 Doors Down,3 Doors Down,0e2vlZj9wAALaxr5Bhxvw8,https://open.spotify.com/album/0e2vlZj9wAALaxr5Bhxvw8,2008-01-01,album,12,https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9,https://i.scdn.co/image/ab67616d0000b27383341df0f125e14e22838afa
3 Doors Down,Away From The Sun,72olNArm75vOycSziqIX9Y,https://open.spotify.com/album/72olNArm75vOycSziqIX9Y,2002-11-12,album,12,https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9,https://i.scdn.co/image/ab67616d0000b27383c39b0d32eb4a2064e1e228
Adam Young,The Endurance,7vkB7oM7WhOQiwlqjx9eFm,https://open.spotify.com/album/7vkB7oM7WhOQiwlqjx9eFm,2016-12-01,album,11,https://open.spotify.com/artist/2Dr744zaEbNqmW9jxw4gfq,https://i.scdn.co/image/ab67616d0000b273913fa8dac3f861c46deecbe3
Adam Young,The Ascent of Everest,5MxrTHVSszAyIPtJ7CxA7q,https://open.spotify.com/album/5MxrTHVSszAyIPtJ7CxA7q,2016-05-01,album,7,https://open.spotify.com/artist/2Dr744zaEbNqmW9jxw4gfq,https://i.scdn.co/image/ab67616d0000b27338579a8acce3d63ba65d26fc
Adam Young,Voyager 1,7MSxAyclC6xHuF5dLoN8jq,https://open.spotify.com/album/7MSxAyclC6xHuF5dLoN8jq,2016-10-01,album,10,https://open.spotify.com/artist/2Dr744zaEbNqmW9jxw4gfq,https://i.scdn.co/image/ab67616d0000b27391c17e20a1fdeeaa3df684d6
Adam Young,Project Excelsior,3T1I8ojDt6zHCwfVLD1JYD,https://open.spotify.com/album/3T1I8ojDt6zHCwfVLD1JYD,2016-08-01,album,9,https://open.spotify.com/artist/2Dr744zaEbNqmW9jxw4gfq,https://i.scdn.co/image/ab67616d0000b273f61b9e787fe306e07ab1724b
Adam Young,Miracle in the Andes,5tSwWSewVMOPl7bIEOUlaS,https://open.spotify.com/album/5tSwWSewVMOPl7bIEOUlaS,2016-07-01,album,10,https://open.spotify.com/artist/2Dr744zaEbNqmW9jxw4gfq,https://i.scdn.co/image/ab67616d0000b273330d8cbb14324f2161adefd4
